Area,BHK,Bathroom,Furnishing,Price,Locality,City
1283,3,3,Ready to move,20500000,Anna Nagar,Chennai
2250,3,3,Semi-Furnished,20500000,Punjabi Bagh West,Delhi
1500,3,2,Semi-Furnished,20500000,Saket,Delhi
1844,3,3,Ready to move,20000000,Velachery,Chennai
1800,3,3,Furnished,20000000,"Aravali Apartments, Alaknanda",Delhi
1800,3,3,Furnished,20000000,"Aravali Apartments, Alaknanda",Delhi
1200,3,2,Semi-Furnished,20000000,"DDA Flats Vasant Kunj, Vasant Kunj ",Delhi
1646,3,3,Unfurnished,20000000,"DLF Capital Greens, New Moti Nagar,",Delhi
900,2,2,Semi-Furnished,20000000,"Kailash Colony, Greater Kailash",Delhi
1206,3,3,Semi-Furnished,20000000,Karol Bagh,Delhi
1000,2,2,Furnished,20000000,Lajpat Nagar 3,Delhi
1000,2,2,Furnished,20000000,Lajpat Nagar 3,Delhi
1290,3,2,Semi-Furnished,20000000,Malviya Nagar,Delhi
1600,4,3,Furnished,20000000,"Mangal Apartment, Vasundhara Enclav",Delhi
1250,3,3,Semi-Furnished,20000000,"Narmada Apartment, Alaknanda",Delhi
1600,3,3,Semi-Furnished,20000000,"Narmada Apartment, Alaknanda",Delhi
1250,3,3,Semi-Furnished,20000000,"Narmada Apartment, Alaknanda",Delhi
1600,3,3,Semi-Furnished,20000000,"Narmada Apartment, Alaknanda",Delhi
2300,4,4,Semi-Furnished,20000000,Rohini Sector 23,Delhi
1350,3,3,Unfurnished,20000000,Sheikh Sarai Phase 1,Delhi
1300,3,3,Furnished,20000000,"Sidharth Enclave, Kilokri, Ring Roa",Delhi
1501,3,2,Semi-Furnished,20000000,"The Amaryllis, Karol Bagh",Delhi
900,3,3,Furnished,20000000,Vasant Kunj,Delhi
1000,3,3,Semi-Furnished,19500000,"Narmada Apartment, Alaknanda",Delhi
1000,3,3,Semi-Furnished,19500000,"Narmada Apartment, Alaknanda",Delhi
1550,3,2,Unfurnished,19500000,"New Moti Nagar, Kirti Nagar",Delhi
1500,3,3,Semi-Furnished,19500000,Patel Nagar West,Delhi
1235,3,2,Under Construction,19100000,Anna Nagar,Chennai
1400,3,2,Unfurnished,19000000,Alaknanda,Delhi
1440,3,3,Unfurnished,19000000,Alaknanda,Delhi
1400,3,3,Semi-Furnished,19000000,Alaknanda,Delhi
1400,3,2,Unfurnished,19000000,Alaknanda,Delhi
1440,3,3,Unfurnished,19000000,Alaknanda,Delhi
1400,3,3,Semi-Furnished,19000000,Alaknanda,Delhi
1753,3,3,Unfurnished,19000000,"DLF Capital Greens, New Moti Nagar,",Delhi
1700,3,3,Furnished,19000000,Lajpat Nagar 3,Delhi
1300,3,3,Unfurnished,19000000,"Project Gangotri Enclave, Gangotri ",Delhi
1300,3,3,Unfurnished,19000000,"Project Gangotri Enclave, Gangotri ",Delhi
1800,3,4,Semi-Furnished,19000000,Sheikh Sarai Phase 1,Delhi
1400,3,2,Semi-Furnished,19000000,Sheikh Sarai Phase 1,Delhi
1400,3,3,Furnished,19000000,"Tara Apartment, Alaknanda carpet ar",Delhi
1400,3,3,Furnished,19000000,"Tara Apartment, Alaknanda carpet ar",Delhi
1600,3,4,Unfurnished,18800000,Sheikh Sarai Phase 1,Delhi
1600,3,2,Semi-Furnished,18500000,"DDA Flats Vasant Kunj, Vasant Kunj",Delhi
1200,2,2,Furnished,18500000,"Deshbandhu Apartments, Kalkaji",Delhi
1350,3,2,Unfurnished,18500000,"New Moti Nagar, Kirti Nagar",Delhi
1300,3,2,Unfurnished,18500000,"Nilgiri Apartment, Alaknanda",Delhi
1300,3,2,Unfurnished,18500000,"Nilgiri Apartment, Alaknanda",Delhi
1252,2,2,Semi-Furnished,18500000,"The Amaryllis, Karol Bagh",Delhi
2250,3,2,Furnished,18500000,"Yamuna Vihar, Shahdara",Delhi
675,4,2,Furnished,18500000,"Yamuna Vihar, Shahdara",Delhi
3024,5,6,Ready to move,18100000,Kolapakkam,Chennai
3024,5,6,Ready to move,18100000,Kolapakkam,Chennai
3024,5,6,Ready to move,18100000,Kolapakkam,Chennai
3024,5,6,Ready to move,18100000,Kolapakkam,Chennai
1240,3,3,Unfurnished,18000000,"DLF Capital Greens, Moti Nagar, Kir",Delhi
1400,3,3,Furnished,18000000,"Narmada Apartment, Alaknanda carpet",Delhi
1400,3,3,Furnished,18000000,"Narmada Apartment, Alaknanda carpet",Delhi
1400,4,2,Furnished,17800000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1500,4,2,Furnished,17800000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
2544,4,3,Under Construction,17500000,Selaiyur,Chennai
1200,2,2,Semi-Furnished,17500000,Alaknanda,Delhi
1200,2,2,Semi-Furnished,17500000,Alaknanda,Delhi
1550,4,2,Furnished,17500000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1000,2,2,Unfurnished,17500000,"DDA Flats Vasant Kunj, Vasant Kunj",Delhi
2800,5,4,Semi-Furnished,17500000,"J R Designers Floors, Rohini Sector",Delhi
1429,3,3,Unfurnished,17500000,"New Moti Nagar, Kirti Nagar",Delhi
1400,3,2,Semi-Furnished,17500000,"New Moti Nagar, Kirti Nagar",Delhi
1250,2,1,Semi-Furnished,17500000,Sheikh Sarai Phase 1,Delhi
2686,4,3,Ready to move,17400000,Karapakkam,Chennai
1400,4,2,Furnished,17400000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1500,3,2,Unfurnished,17400000,"Kunj Vihar Apartment, Dwarka Sector",Delhi
1500,3,2,Unfurnished,17400000,"Kunj Vihar Apartment, Dwarka Sector",Delhi
1700,3,3,Semi-Furnished,17200000,"Aashirwaad Chowk, Dwarka",Delhi
1750,3,3,Furnished,17200000,"Green Heavens Apartment, Aashirwaad",Delhi
1700,3,2,Semi-Furnished,17200000,"Sunny Valley Apartments, Dwarka",Delhi
1700,3,2,Semi-Furnished,17200000,"Sunny Valley Apartments, Dwarka",Delhi
1700,3,2,Semi-Furnished,17200000,"Sunny Valley Apartments, Dwarka",Delhi
2640,4,3,Ready to move,17100000,Karapakkam,Chennai
2616,4,3,Ready to move,17000000,Karapakkam,Chennai
1700,3,2,Furnished,17000000,"DDA Flats Block A, Dilshad Garden",Delhi
1600,3,2,Semi-Furnished,17000000,"DDA Flats Block A, Dilshad Garden",Delhi
1200,10,4,Semi-Furnished,17000000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1300,3,2,Semi-Furnished,17000000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1500,3,3,Furnished,17000000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1184,2,2,Semi-Furnished,17000000,"Ganga Apartment Sector D Pocket 6, ",Delhi
100,3,2,Semi-Furnished,17000000,Malviya Nagar,Delhi
972,2,2,Semi-Furnished,17000000,Safdarjung Enclave,Delhi
987,2,2,Semi-Furnished,17000000,"The Amaryllis, Karol Bagh",Delhi
2495,4,3,Under Construction,16900000,Mogappair,Chennai
994,2,2,Under Construction,16800000,Royapettah,Chennai
994,2,2,Ready to move,16800000,Royapettah,Chennai
2433,4,3,Under Construction,16500000,Mogappair,Chennai
700,2,2,Unfurnished,16500000,Alaknanda,Delhi
700,2,2,Unfurnished,16500000,Alaknanda,Delhi
1700,3,2,Furnished,16500000,"Green Heavens Apartment, Aashirwaad",Delhi
1260,3,3,Semi-Furnished,16500000,Kalkaji,Delhi
750,2,2,Semi-Furnished,16500000,Lajpat Nagar 2,Delhi
1150,2,2,Unfurnished,16500000,"Narmada Apartment, Alaknanda",Delhi
1150,2,2,Unfurnished,16500000,"Narmada Apartment, Alaknanda",Delhi
1400,2,2,Unfurnished,16500000,"Nilgiri Apartment, Alaknanda",Delhi
1400,2,2,Unfurnished,16500000,"Nilgiri Apartment, Alaknanda",Delhi
1100,2,2,Semi-Furnished,16500000,Vasant Kunj,Delhi
1100,2,2,Unfurnished,16300000,Safdarjung Enclave,Delhi
1550,4,2,Furnished,16200000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1150,2,3,Semi-Furnished,16100000,"Deshbandhu Apartments, Kalkaji",Delhi
2700,4,3,Ready to move,16000000,Kolathur,Chennai
1250,3,2,Semi-Furnished,16000000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1143,2,2,Unfurnished,16000000,"DDA MIG Flats Prasad Nagar Phase 2,",Delhi
1250,3,2,Semi-Furnished,16000000,"DLF Capital Greens, New Moti Nagar,",Delhi
1100,3,2,Semi-Furnished,16000000,Paschim Vihar,Delhi
100,3,2,Semi-Furnished,16000000,"Patel Nagar East, Patel Nagar",Delhi
1300,2,2,Semi-Furnished,16000000,Sheikh Sarai Phase 1,Delhi
1500,3,2,Semi-Furnished,16000000,"Sukhdev Vihar, Okhla",Delhi
700,2,1,Furnished,16000000,"Yamuna Vihar, Shahdara",Delhi
675,4,3,Furnished,16000000,"Yamuna Vihar, Shahdara",Delhi
1025,2,1,Under Construction,15800000,Anna Nagar,Chennai
1550,3,2,Semi-Furnished,15800000,"Bank Apartments, Aashirwaad Chowk, ",Delhi
1600,3,2,Semi-Furnished,15800000,"Bank Apartments, Aashirwaad Chowk, ",Delhi
1480,3,2,Furnished,15800000,"Bank Apartments, Aashirwaad Chowk, ",Delhi
1600,4,2,Semi-Furnished,15800000,"DDA Flats, Sarita Vihar, Mathura Ro",Delhi
900,2,2,Semi-Furnished,15800000,Lajpat Nagar 2,Delhi
900,2,2,Semi-Furnished,15800000,Lajpat Nagar 2,Delhi
1320,3,2,Unfurnished,15600000,Alaknanda,Delhi
1320,3,2,Unfurnished,15600000,Alaknanda,Delhi
1600,3,3,Semi-Furnished,15600000,"Ashirwad Apartments, Dwarka",Delhi
1600,3,3,Semi-Furnished,15600000,"Ashirwad Apartments, Dwarka",Delhi
1850,3,2,Semi-Furnished,15500000,"Aashirwaad Chowk, Dwarka",Delhi
1200,3,3,Semi-Furnished,15500000,"Ashirwad Apartments, Dwarka Sector ",Delhi
1200,3,3,Semi-Furnished,15500000,"Ashirwad Apartments, Dwarka Sector ",Delhi
1200,3,3,Semi-Furnished,15500000,"Ashirwad Apartments, Dwarka Sector ",Delhi
1600,4,2,Semi-Furnished,15500000,"DDA Flats, Sarita Vihar, Mathura Ro",Delhi
1450,3,3,Semi-Furnished,15500000,"DLF Capital Greens, New Moti Nagar,",Delhi
810,2,2,Semi-Furnished,15500000,Lajpat Nagar 2,Delhi
1078,3,2,Unfurnished,15500000,Paschim Vihar,Delhi
1650,3,3,Semi-Furnished,15500000,"Rajasthan Apartment, Aashirwaad Cho",Delhi
1300,4,3,Semi-Furnished,15500000,Rohini Sector 24,Delhi
1300,2,2,Semi-Furnished,15500000,Sheikh Sarai Phase 1,Delhi
1100,2,2,Unfurnished,15500000,Vasant Kunj,Delhi
1600,3,3,Semi-Furnished,15200000,"Rajasthan Apartment, Aashirwaad Cho",Delhi
2225,3,2,Under Construction,15100000,Mogappair,Chennai
1380,3,2,Semi-Furnished,15000000,"Aashirwaad Chowk, Dwarka",Delhi
1100,2,2,Unfurnished,15000000,Alaknanda,Delhi
1100,2,2,Unfurnished,15000000,Alaknanda,Delhi
968.751,2,2,Semi-Furnished,15000000,"Aravali Apartments, Alaknanda",Delhi
968.751,2,2,Semi-Furnished,15000000,"Aravali Apartments, Alaknanda",Delhi
900,2,2,Semi-Furnished,15000000,"Bhagwan Das Nagar, Punjabi Bagh",Delhi
1800,3,3,Semi-Furnished,15000000,"Dilshad Colony, Dilshad Garden",Delhi
1250,2,2,Furnished,15000000,"DLF Capital Greens, New Moti Nagar,",Delhi
1450,3,3,Semi-Furnished,15000000,"DLF Capital Greens, New Moti Nagar,",Delhi
2500,4,3,Semi-Furnished,15000000,"J R Designers Floors, Rohini Sector",Delhi
1000,2,2,Unfurnished,15000000,"Kailash Colony, Greater Kailash",Delhi
900,2,2,Unfurnished,15000000,Kalkaji,Delhi
1280,3,3,Furnished,15000000,Karol Bagh,Delhi
800,2,2,Unfurnished,15000000,Lajpat Nagar 1,Delhi
825,2,2,Unfurnished,15000000,Lajpat Nagar 2,Delhi
875,2,2,Unfurnished,15000000,Lajpat Nagar 2,Delhi
1782,3,3,Semi-Furnished,15000000,"Patel Nagar East, Patel Nagar",Delhi
2000,4,4,Semi-Furnished,15000000,Patel Nagar West,Delhi
1350,3,3,Semi-Furnished,15000000,"Pushkar Enclave, Paschim Vihar",Delhi
1300,4,4,Semi-Furnished,15000000,Rohini Sector 22,Delhi
1300,4,4,Semi-Furnished,15000000,Rohini Sector 22,Delhi
700,2,2,Unfurnished,15000000,Safdarjung Enclave,Delhi
900,4,1,Furnished,15000000,"Shastri Park, Shahdara",Delhi
1100,2,2,Semi-Furnished,15000000,Vasant Kunj,Delhi
1100,2,2,Semi-Furnished,15000000,Vasant Kunj,Delhi
1100,2,2,Semi-Furnished,15000000,Vasant Kunj,Delhi
1300,2,2,Semi-Furnished,15000000,"Yamuna Apartment, Alaknanda",Delhi
1300,2,2,Semi-Furnished,15000000,"Yamuna Apartment, Alaknanda",Delhi
1500,3,2,Semi-Furnished,14900000,"Aashirwaad Chowk, Dwarka",Delhi
850,2,2,Semi-Furnished,14600000,Lajpat Nagar 2,Delhi
850,2,2,Semi-Furnished,14600000,Lajpat Nagar 2,Delhi
1470,3,2,Semi-Furnished,14500000,"Aashirwaad Chowk, Dwarka",Delhi
1200,3,2,Semi-Furnished,14500000,Karol Bagh,Delhi
800,2,2,Unfurnished,14500000,Lajpat Nagar 2,Delhi
1540,3,3,Semi-Furnished,14500000,"Nav Kairali Apartment, Dwarka Secto",Delhi
1540,3,3,Semi-Furnished,14500000,"Nav Kairali Apartment, Dwarka Secto",Delhi
810,2,2,Semi-Furnished,14500000,"Sukhdev Vihar, Okhla",Delhi
1990,3,2,Ready to move,14300000,Iyappanthangal,Chennai
1200,2,2,Unfurnished,14300000,"Nilgiri Apartment, Alaknanda",Delhi
1200,2,2,Unfurnished,14300000,"Nilgiri Apartment, Alaknanda",Delhi
1525,3,3,Semi-Furnished,14200000,"Chopra Apartment, Dwarka Sector 23",Delhi
1470,3,2,Semi-Furnished,14200000,"DLF Capital Greens, New Moti Nagar,",Delhi
702,3,2,Semi-Furnished,14200000,"New Moti Nagar, Kirti Nagar",Delhi
1459,3,3,Semi-Furnished,14200000,Vasundhara Enclave,Delhi
2580,4,3,Ready to move,14100000,Sholinganallur,Chennai
2200,6,4,Ready to move,14000000,Kolathur,Chennai
2200,4,4,Under Construction,14000000,Sembakkam,Chennai
1400,2,2,Semi-Furnished,14000000,Alaknanda,Delhi
1400,2,2,Semi-Furnished,14000000,Alaknanda,Delhi
1500,3,3,Semi-Furnished,14000000,"Bank Apartments, Aashirwaad Chowk, ",Delhi
1350,3,3,Semi-Furnished,14000000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1800,3,3,Semi-Furnished,14000000,"Govindpuri Extension, Kalkaji",Delhi
800,2,2,Unfurnished,14000000,Lajpat Nagar 2,Delhi
1450,3,2,Furnished,14000000,"Satyam Apartment, Vasundhara Enclav",Delhi
1650,4,3,Furnished,14000000,Shahdara,Delhi
1650,4,3,Furnished,14000000,Shahdara,Delhi
1938,3,2,Ready to move,13900000,Iyappanthangal,Chennai
2228,4,3,Under Construction,13900000,Mogappair,Chennai
2211,4,2,Under Construction,13800000,Mogappair,Chennai
1380,3,3,Ready to move,13800000,Perungudi,Chennai
1380,3,3,Ready to move,13800000,Perungudi,Chennai
1380,3,3,Ready to move,13800000,Perungudi,Chennai
2525,4,3,Ready to move,13800000,Sholinganallur,Chennai
1232,2,1,Under Construction,13800000,Vadapalani,Chennai
980,2,2,Semi-Furnished,13800000,"Shivalik Apartments, Alaknanda",Delhi
1485,3,3,Ready to move,13700000,Perungudi,Chennai
1370,3,3,Ready to move,13700000,Perungudi,Chennai
1370,3,3,Ready to move,13700000,Perungudi,Chennai
1370,3,3,Ready to move,13700000,Perungudi,Chennai
1225,2,1,Under Construction,13700000,Vadapalani,Chennai
1211,2,1,Under Construction,13600000,Vadapalani,Chennai
1150,2,2,Furnished,13600000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1500,3,2,Furnished,13600000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
750,2,2,Unfurnished,13600000,Lajpat Nagar 4,Delhi
1204,2,1,Under Construction,13500000,Vadapalani,Chennai
1400,3,3,Semi-Furnished,13500000,"Chopra Apartment, Dwarka Sector 23",Delhi
1200,3,3,Furnished,13500000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1200,3,2,Furnished,13500000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
900,3,2,Semi-Furnished,13500000,"Dilshad Colony, Dilshad Garden",Delhi
1600,3,3,Semi-Furnished,13500000,"J R Designers Floors, Rohini Sector",Delhi
900,2,2,Semi-Furnished,13500000,Lajpat Nagar,Delhi
1675,4,3,Furnished,13500000,Mehrauli,Delhi
1138,2,2,Semi-Furnished,13500000,"New Moti Nagar, Kirti Nagar",Delhi
1360,4,3,Semi-Furnished,13500000,Rohini Sector 24,Delhi
850,2,2,Semi-Furnished,13500000,Sheikh Sarai Phase 1,Delhi
1100,2,2,Semi-Furnished,13500000,Sheikh Sarai Phase 1,Delhi
750,3,2,Furnished,13500000,"Sukhdev Vihar, Okhla",Delhi
1974,3,2,Under Construction,13400000,Mogappair,Chennai
1583,2,1,Under Construction,13400000,Perungudi,Chennai
900,2,2,Semi-Furnished,13400000,Lajpat Nagar 2,Delhi
1962,3,2,Under Construction,13300000,Mogappair,Chennai
1577,2,1,Under Construction,13300000,Perungudi,Chennai
1580,2,1,Under Construction,13300000,Perungudi,Chennai
1176,2,1,Under Construction,13200000,Vadapalani,Chennai
1180,2,1,Under Construction,13200000,Vadapalani,Chennai
1550,3,2,Semi-Furnished,13200000,"Aashirwaad Chowk, Dwarka",Delhi
950,2,2,Furnished,13200000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1825,3,2,Ready to move,13100000,Iyappanthangal,Chennai
2185,4,3,Ready to move,13100000,Kolapakkam,Chennai
1556,2,1,Under Construction,13100000,Perungudi,Chennai
1561,2,1,Under Construction,13100000,Perungudi,Chennai
1174,2,1,Under Construction,13100000,Vadapalani,Chennai
1150,2,2,Furnished,13100000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1100,3,2,Semi-Furnished,13100000,Paschim Vihar,Delhi
1800,3,2,Ready to move,13000000,Iyappanthangal,Chennai
1308,3,3,Ready to move,13000000,Perungudi,Chennai
1308,3,3,Ready to move,13000000,Perungudi,Chennai
1308,3,3,Ready to move,13000000,Perungudi,Chennai
1308,3,3,Ready to move,13000000,Perungudi,Chennai
1159,2,1,Under Construction,13000000,Vadapalani,Chennai
900,2,2,Semi-Furnished,13000000,"Amar Colony, Lajpat Nagar",Delhi
1000,2,2,Furnished,13000000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1600,4,3,Semi-Furnished,13000000,"J R Designers Floors, Rohini Sector",Delhi
900,2,2,Unfurnished,13000000,Lajpat Nagar 2,Delhi
750,2,2,Unfurnished,13000000,Malviya Nagar,Delhi
1500,2,2,Semi-Furnished,13000000,Malviya Nagar,Delhi
1550,4,3,Semi-Furnished,13000000,Rohini Sector 24,Delhi
1550,4,3,Semi-Furnished,13000000,Rohini Sector 24,Delhi
1154,2,1,Under Construction,12900000,Vadapalani,Chennai
950,2,2,Furnished,12900000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
950,2,2,Furnished,12700000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1264,3,3,Ready to move,12600000,Perungudi,Chennai
1264,3,3,Ready to move,12600000,Perungudi,Chennai
2350,4,4,Ready to move,12500000,Iyyappanthangal,Chennai
2350,4,4,Ready to move,12500000,Iyyappanthangal,Chennai
2350,4,4,Ready to move,12500000,Iyyappanthangal,Chennai
2350,4,4,Ready to move,12500000,Iyyappanthangal,Chennai
1250,3,3,Ready to move,12500000,Perungudi,Chennai
1250,3,3,Ready to move,12500000,Perungudi,Chennai
1250,3,3,Ready to move,12500000,Perungudi,Chennai
1800,4,4,Semi-Furnished,12500000,Chhattarpur Enclave Phase2,Delhi
1150,2,2,Furnished,12500000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
950,2,2,Furnished,12500000,"DDA MIG Flats Prasad Nagar Phase 2,",Delhi
900,3,3,Semi-Furnished,12500000,Krishna Nagar-Safdarjung Enclave,Delhi
1280,2,2,Furnished,12500000,Lajpat Nagar,Delhi
1350,2,2,Furnished,12500000,Lajpat Nagar 2,Delhi
900,2,2,Furnished,12500000,Lajpat Nagar 2,Delhi
900,2,2,Unfurnished,12500000,Paschim Vihar,Delhi
1500,3,3,Unfurnished,12500000,Patel Nagar West,Delhi
1550,4,3,Semi-Furnished,12500000,Rohini Sector 24,Delhi
1100,2,2,Semi-Furnished,12500000,Sheikh Sarai Phase 1,Delhi
1100,3,3,Semi-Furnished,12500000,"Sukhdev Vihar, Okhla",Delhi
1477,2,1,Under Construction,12400000,Perungudi,Chennai
1790,3,2,Ready to move,12100000,Iyappanthangal,Chennai
1947,3,2,Under Construction,12100000,Mogappair,Chennai
1200,3,3,Ready to move,12000000,Perungudi,Chennai
1200,3,3,Ready to move,12000000,Perungudi,Chennai
1200,3,3,Ready to move,12000000,Perungudi,Chennai
1200,3,3,Ready to move,12000000,Perungudi,Chennai
2000,3,3,Ready to move,12000000,Sembakkam,Chennai
1075,2,2,Semi-Furnished,12000000,"DDA Flats Sector E Pocket 1, Vasant",Delhi
800,3,2,Unfurnished,12000000,"Guru Harikishan Nagar, Paschim Viha",Delhi
1500,3,2,Semi-Furnished,12000000,"J R Designers Floors, Rohini Sector",Delhi
800,2,2,Semi-Furnished,12000000,Malviya Nagar,Delhi
900,3,2,Unfurnished,12000000,Patel Nagar West,Delhi
1640,3,3,Unfurnished,12000000,Punjabi Bagh West,Delhi
1800,4,4,Furnished,12000000,"Sidharth Enclave, Kilokri, Ring Roa",Delhi
1500,3,3,Semi-Furnished,12000000,Vasundhara Enclave,Delhi
975,3,2,Semi-Furnished,12000000,Vasundhara Enclave,Delhi
1150,3,3,Semi-Furnished,12000000,Vasundhara Enclave,Delhi
1460,3,3,Unfurnished,12000000,Vasundhara Enclave,Delhi
1760,3,2,Ready to move,11900000,Iyappanthangal,Chennai
1740,3,2,Ready to move,11800000,Iyappanthangal,Chennai
1600,3,3,Under Construction,11800000,Pallavaram,Chennai
1600,3,3,Under Construction,11800000,Pallavaram,Chennai
1394,2,1,Under Construction,11800000,Perungudi,Chennai
1398,2,1,Under Construction,11800000,Perungudi,Chennai
1730,3,2,Ready to move,11700000,Iyappanthangal,Chennai
1392,2,1,Under Construction,11700000,Perungudi,Chennai
1000,2,2,Unfurnished,11700000,"Sukhdev Vihar, Okhla",Delhi
1450,3,3,Semi-Furnished,11600000,"Abhimanyu Apartments, Vasundhara En",Delhi
1700,3,3,Ready to move,11500000,Iyappanthangal,Chennai
1849,3,2,Under Construction,11500000,Mogappair,Chennai
2388,4,3,Ready to move,11500000,Navallur,Chennai
600,2,2,Semi-Furnished,11500000,"Amar Colony, Lajpat Nagar",Delhi
1450,3,3,Semi-Furnished,11500000,"J R Designers Floors, Rohini Sector",Delhi
850,2,2,Semi-Furnished,11500000,Lajpat Nagar 1,Delhi
1700,4,3,Unfurnished,11500000,Laxmi Nagar,Delhi
750,2,2,Unfurnished,11500000,Malviya Nagar,Delhi
1300,4,3,Furnished,11500000,"Mansarowar Park, Shahdara",Delhi
1300,3,2,Semi-Furnished,11500000,"Samrat Apartment, Vasundhara Enclav",Delhi
750,2,2,Semi-Furnished,11500000,"Vinoba Puri, Lajpat Nagar",Delhi
600,1,1,Ready to move,11400000,Royapettah,Chennai
2343,4,4,Ready to move,11300000,Navallur,Chennai
1343,2,1,Under Construction,11300000,Perungudi,Chennai
1350,4,3,Semi-Furnished,11300000,"Mansarowar Park, Shahdara",Delhi
2323,4,3,Ready to move,11200000,Navallur,Chennai
1645,3,2,Ready to move,11100000,Iyappanthangal,Chennai
1311,2,1,Under Construction,11100000,Perungudi,Chennai
1313,2,1,Under Construction,11100000,Perungudi,Chennai
950,2,2,Furnished,11100000,"DDA Flats Sarita Vihar, Sarita Viha",Delhi
1943,3,3,Ready to move,11000000,Chromepet,Chennai
1851,3,3,Ready to move,11000000,Medavakkam,Chennai
1317,2,1,Under Construction,11000000,Perungudi,Chennai
880,3,2,Unfurnished,11000000,"Arjun Nagar, Safdarjung Enclave",Delhi
900,2,1,Furnished,11000000,Budh Vihar,Delhi
900,2,2,Furnished,11000000,Lajpat Nagar 2,Delhi
900,2,2,Unfurnished,11000000,Lajpat Nagar 2,Delhi
900,2,2,Unfurnished,11000000,Lajpat Nagar 2,Delhi
900,2,2,Unfurnished,11000000,"Sukhdev Vihar, Okhla",Delhi
1708,3,3,Under Construction,10900000,Sholinganallur,Chennai
1564,3,2,Under Construction,10800000,Pallavaram,Chennai
1564,3,2,Under Construction,10800000,Pallavaram,Chennai
1150,2,2,Semi-Furnished,10800000,"DDA Flats, Sarita Vihar, Mathura Ro",Delhi
1600,3,3,Unfurnished,10800000,"New Manglapuri, Sultanpur",Delhi
1306,2,2,Ready to move,10700000,Velachery,Chennai
550,2,2,Semi-Furnished,10700000,Malviya Nagar,Delhi
1060,2,2,Ready to move,10600000,Perungudi,Chennai
1062,2,2,Ready to move,10600000,Perungudi,Chennai
1065,2,2,Ready to move,10600000,Perungudi,Chennai
1060,2,2,Ready to move,10600000,Perungudi,Chennai
1360,4,3,Under Construction,10500000,East Tambaram,Chennai
1350,4,4,Semi-Furnished,10500000,"Abhimanyu Apartments, Vasundhara En",Delhi
900,2,2,Unfurnished,10500000,Lajpat Nagar,Delhi
1745,3,2,Ready to move,10400000,Kolapakkam,Chennai
1745,3,2,Ready to move,10400000,Kolapakkam,Chennai
1044,2,2,Ready to move,10400000,Perungudi,Chennai
1044,2,2,Ready to move,10400000,Perungudi,Chennai
900,3,2,Furnished,10400000,Patel Nagar West,Delhi
900,2,2,Unfurnished,10300000,Lajpat Nagar 2,Delhi
1188,2,2,Under Construction,10100000,Perungudi,Chennai
1760,3,2,Under Construction,10100000,Selaiyur,Chennai
1821,3,3,Ready to move,10000000,Sembakkam,Chennai
1188,3,2,Ready to move,10000000,Velachery,Chennai
1295,3,2,Semi-Furnished,10000000,"J R Designers Floors, Rohini Sector",Delhi
1150,3,2,Semi-Furnished,10000000,"J R Designers Floors, Rohini Sector",Delhi
675,2,2,Semi-Furnished,10000000,Karol Bagh,Delhi
900,2,2,Unfurnished,10000000,Lajpat Nagar 1,Delhi
1300,3,3,Semi-Furnished,10000000,Malviya Nagar,Delhi
1200,2,2,Semi-Furnished,10000000,"Manglapuri, Sultanpur",Delhi
954,2,2,Unfurnished,10000000,Punjabi Bagh East,Delhi
1350,4,3,Semi-Furnished,10000000,Rohini Sector 24,Delhi
1100,2,2,Semi-Furnished,10000000,Vasundhara Enclave,Delhi
1350,3,3,Under Construction,9990000,Pallavaram,Chennai
1350,3,3,Under Construction,9990000,Pallavaram,Chennai
1668,3,2,Under Construction,9757000,Mogappair,Chennai
1494,3,2,Under Construction,9709000,Koyambedu,Chennai
1617,2,1,Ready to move,9700000,Kolapakkam,Chennai
1617,2,1,Ready to move,9700000,Kolapakkam,Chennai
1617,2,1,Ready to move,9700000,Kolapakkam,Chennai
1617,2,1,Ready to move,9700000,Kolapakkam,Chennai
1598,3,2,Under Construction,9700000,Sholinganallur,Chennai
1487,3,2,Under Construction,9664000,Koyambedu,Chennai
1900,3,3,Under Construction,9600000,Perungalathur,Chennai
1469,3,2,Ready to move,9548000,Kolathur,Chennai
1467,3,2,Under Construction,9534000,Koyambedu,Chennai
1783,3,3,Ready to move,9500000,Chromepet,Chennai
