Area,BHK,Bathroom,Furnishing,Price,Locality,City
1800,4,4,Unfurnished,45500000,Punjabi Bagh West,Delhi
3510,4,4,Semi-Furnished,45000000,"Friends Colony West, New Friends Co",Delhi
2150,4,4,Unfurnished,45000000,"Kailash Colony, Greater Kailash",Delhi
1450,3,3,Semi-Furnished,45000000,Lajpat Nagar 3,Delhi
3500,3,3,Unfurnished,45000000,"Maharani Bagh, New Friends Colony",Delhi
1674,3,3,Unfurnished,45000000,Saket,Delhi
2601,3,3,Under Construction,44200000,T Nagar,Chennai
2601,3,3,Under Construction,44200000,T Nagar,Chennai
2090,3,4,Semi-Furnished,44000000,"Common Wealth Games Village, Common",Delhi
2175,4,4,Unfurnished,44000000,"DLF Capital Greens, Moti Nagar, Kir",Delhi
2700,4,4,Semi-Furnished,43500000,Saket,Delhi
2200,3,3,Semi-Furnished,43100000,"The Amaryllis, Karol Bagh",Delhi
2799,4,4,Semi-Furnished,43000000,"Kailash Colony, Greater Kailash",Delhi
2065,3,4,Semi-Furnished,42500000,"Common Wealth Games Village, Common",Delhi
2700,4,3,Semi-Furnished,42500000,"Guru Harikishan Nagar, Paschim Viha",Delhi
2592,4,3,Unfurnished,42500000,Punjabi Bagh,Delhi
2105,3,3,Unfurnished,42100000,"Common Wealth Games Village, Common",Delhi
1989,3,3,Ready to move,41700000,Alwarpet,Chennai
2315,3,3,Under Construction,41600000,Alwarpet,Chennai
1350,3,3,Unfurnished,41500000,Lajpat Nagar 3,Delhi
2210,4,3,Semi-Furnished,41000000,"Sukhdev Vihar, Okhla",Delhi
2210,4,3,Semi-Furnished,41000000,"Sukhdev Vihar, Okhla",Delhi
1700,3,4,Semi-Furnished,40000000,Commonwealth Games Village 2010,Delhi
2800,4,4,Unfurnished,40000000,"DLF Capital Greens, New Moti Nagar,",Delhi
2200,4,4,Semi-Furnished,40000000,"Kailash Colony, Greater Kailash",Delhi
1500,3,3,Semi-Furnished,40000000,"Kailash Colony, Greater Kailash",Delhi
1500,3,3,Semi-Furnished,40000000,Lajpat Nagar 3,Delhi
1600,3,3,Semi-Furnished,40000000,New Friends Colony,Delhi
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2650,5,5,Ready to move,39800000,West Mambalam,Chennai
2000,4,4,Semi-Furnished,39700000,"The Amaryllis, Karol Bagh",Delhi
2133,3,3,Under Construction,39300000,T Nagar,Chennai
2126,3,3,Semi-Furnished,39000000,"Common Wealth Games Village, Common",Delhi
2336,3,3,Ready to move,38500000,Royapettah,Chennai
1700,3,3,Semi-Furnished,38500000,"Friends Colony East, New Friends Co",Delhi
2000,4,4,Semi-Furnished,38000000,"Kailash Colony, Greater Kailash",Delhi
2022,3,3,Semi-Furnished,38000000,Project Commonwealth Games Village ,Delhi
1550,3,3,Semi-Furnished,38000000,Safdarjung Enclave,Delhi
1850,3,3,Unfurnished,37500000,"Common Wealth Games Village, Common",Delhi
2070,3,3,Semi-Furnished,37500000,"Friends Colony East, New Friends Co",Delhi
1450,3,3,Semi-Furnished,37500000,Lajpat Nagar 3,Delhi
2000,3,3,Semi-Furnished,37500000,"Patel Nagar East, Patel Nagar",Delhi
2250,4,4,Unfurnished,37500000,Punjabi Bagh,Delhi
1800,3,3,Semi-Furnished,37500000,Safdarjung Enclave,Delhi
1500,3,3,Semi-Furnished,37500000,Safdarjung Enclave,Delhi
2100,3,3,Semi-Furnished,37000000,"Common Wealth Games Village, Common",Delhi
2000,4,4,Unfurnished,36500000,"DDA Flats Vasant Kunj, Vasant Kunj ",Delhi
2700,4,4,Unfurnished,36500000,Greater Kailash 4 Nri Colony,Delhi
2700,4,4,Unfurnished,36500000,Greater Kailash 4 Nri Colony,Delhi
2125,3,3,Semi-Furnished,36500000,Project Commonwealth Games Village ,Delhi
2133,2,2,Under Construction,36200000,T Nagar,Chennai
2105,3,3,Semi-Furnished,36200000,"Common Wealth Games Village, Common",Delhi
2000,4,4,Semi-Furnished,36000000,Malviya Nagar,Delhi
1500,3,3,Semi-Furnished,35500000,Commonwealth Games Village 2010,Delhi
1987,3,2,Under Construction,35000000,Kotturpuram,Chennai
3150,4,4,Semi-Furnished,35000000,"Kailash Colony, Greater Kailash",Delhi
1800,3,3,Semi-Furnished,35000000,Lajpat Nagar 2,Delhi
1350,3,3,Semi-Furnished,35000000,Lajpat Nagar 3,Delhi
2572,3,3,Furnished,35000000,Punjabi Bagh West,Delhi
1650,3,3,Semi-Furnished,35000000,Safdarjung Enclave,Delhi
1976,3,2,Under Construction,34800000,Kotturpuram,Chennai
1979,3,2,Under Construction,34800000,Kotturpuram,Chennai
2100,3,4,Furnished,34300000,"Common Wealth Games Village, Common",Delhi
1951,3,2,Under Construction,34200000,Kotturpuram,Chennai
1700,3,3,Unfurnished,34000000,Project Commonwealth Games Village ,Delhi
1450,3,3,Semi-Furnished,34000000,"RWA Flats, Saket",Delhi
1400,3,3,Semi-Furnished,34000000,"Shivalik, Malviya Nagar",Delhi
2250,4,4,Semi-Furnished,33700000,Saket,Delhi
1894,3,2,Under Construction,33400000,Kotturpuram,Chennai
1877,3,2,Under Construction,33200000,Kotturpuram,Chennai
1874,3,2,Under Construction,33100000,Kotturpuram,Chennai
1842,3,2,Under Construction,32500000,Kotturpuram,Chennai
1300,3,3,Semi-Furnished,32500000,"Arjun Nagar, Safdarjung Enclave",Delhi
1815,3,3,Semi-Furnished,32500000,Commonwealth Games Village 2010,Delhi
1400,3,3,Semi-Furnished,32500000,Lajpat Nagar 3,Delhi
1400,3,3,Semi-Furnished,32500000,Lajpat Nagar 3,Delhi
1800,3,3,Unfurnished,32500000,Saket,Delhi
