price,area,status,bhk,location,bath,City
3000000,690,Ready to move,2,Chromepet,2,Chennai
8200000,1450,Ready to move,2,Chromepet,2,Chennai
11000000,1943,Ready to move,3,Chromepet,3,Chennai
9500000,1783,Ready to move,3,Chromepet,3,Chennai
6002000,1225,Ready to move,3,Chromepet,3,Chennai
5360000,1094,Ready to move,3,Chromepet,3,Chennai
4459000,910,Ready to move,2,Chromepet,2,Chennai
4018000,820,Ready to move,2,Chromepet,2,Chennai
2447000,505,Ready to move,1,Chromepet,1,Chennai
8143000,1404,Ready to move,3,Chromepet,3,Chennai
7296000,1258,Ready to move,3,Chromepet,3,Chennai
5915000,1183,Ready to move,3,Chromepet,3,Chennai
5776000,996,Ready to move,2,Chromepet,2,Chennai
4715000,943,Ready to move,2,Chromepet,2,Chennai
5220000,900,Ready to move,2,Chromepet,2,Chennai
4305000,861,Ready to move,2,Chromepet,2,Chennai
2500000,500,Ready to move,1,Chromepet,1,Chennai
7800000,1300,Ready to move,3,Chromepet,3,Chennai
6858000,1143,Ready to move,3,Chromepet,3,Chennai
5814000,969,Ready to move,2,Chromepet,2,Chennai
4710000,785,Ready to move,2,Chromepet,2,Chennai
5000000,1050,Ready to move,2,Chromepet,2,Chennai
4579000,669,Ready to move,2,East Tambaram,1,Chennai
7128000,1004,Under Construction,2,East Tambaram,1,Chennai
7242000,1020,Under Construction,2,East Tambaram,1,Chennai
7781000,1096,Under Construction,2,East Tambaram,1,Chennai
7348000,1035,Under Construction,2,East Tambaram,1,Chennai
8009000,1045,Under Construction,2,East Tambaram,1,Chennai
4719000,640,Under Construction,1,East Tambaram,1,Chennai
8221000,1075,Under Construction,2,East Tambaram,1,Chennai
6910000,890,Under Construction,2,East Tambaram,1,Chennai
8505000,1115,Under Construction,2,East Tambaram,1,Chennai
7442000,965,Under Construction,2,East Tambaram,1,Chennai
7690000,1000,Under Construction,2,East Tambaram,1,Chennai
5452000,806,Ready to move,2,East Tambaram,1,Chennai
4977000,734,Ready to move,2,East Tambaram,1,Chennai
5940000,882,Ready to move,2,East Tambaram,1,Chennai
8727000,1106,Under Construction,3,East Tambaram,2,Chennai
10500000,1360,Under Construction,4,East Tambaram,3,Chennai
7168000,893,Under Construction,2,East Tambaram,1,Chennai
7044000,876,Under Construction,2,East Tambaram,1,Chennai
7972000,1000,Under Construction,2,East Tambaram,1,Chennai
7504000,972,Under Construction,2,East Tambaram,1,Chennai
5735000,730,Under Construction,2,East Tambaram,1,Chennai
6327000,811,Under Construction,2,East Tambaram,1,Chennai
9327000,1171,Under Construction,2,East Tambaram,1,Chennai
5882000,750,Under Construction,2,East Tambaram,1,Chennai
7969000,1172,Under Construction,2,East Tambaram,1,Chennai
